ADAL,94.34,0.03,10.31,0.650980392156863,0.411764705882353,0.619607843137255
ADAR,91.22,-1.43,-11.64,0.650980392156863,0.411764705882353,0.619607843137255
ADEL,87.97,-0.12,10.5,0.988235294117647,0.329411764705882,0.254901960784314
ADER,83.23,-0.58,-11.47,0.988235294117647,0.329411764705882,0.254901960784314
ADFL,54.18,8.48,7.0,0,0,0
ADFR,54.63,7.15,-8.88,0,0,0
ADLL,59.13,12.05,3.86,0.23921568627451,0.333333333333333,0.207843137254902
ADLR,58.8,11.38,-6.34,0.23921568627451,0.333333333333333,0.207843137254902
AFDL,53.37,5.99,7.49,0.211764705882353,0.27843137254902,0.827450980392157
AFDR,53.11,5.71,-9.19,0.211764705882353,0.27843137254902,0.827450980392157
AIAL,66.74,-4.67,0.66,0.36078431372549,0.67843137254902,0.333333333333333
AIAR,67.33,-4.73,-0.99,0.36078431372549,0.67843137254902,0.333333333333333
AIBL,55.49,2.53,5.95,0.811764705882353,0.317647058823529,0.27843137254902
AIBR,55.94,2.61,-6.63,0.811764705882353,0.317647058823529,0.27843137254902
AIML,79.31,-6.77,2.87,0.819607843137255,0.352941176470588,0.411764705882353
AIMR,70.59,-5.01,-3.48,0.819607843137255,0.352941176470588,0.411764705882353
AINL,68.22,6.62,9.69,0.341176470588235,0.63921568627451,0.298039215686275
AINR,67.38,7.01,-10.84,0.341176470588235,0.63921568627451,0.298039215686275
AIYL,71.42,-4.4,5.34,0.490196078431373,0.952941176470588,0.4
AIYR,59.43,-1.49,-1.12,0.490196078431373,0.952941176470588,0.4
AIZL,68.92,2.53,7.98,0.552941176470588,0.333333333333333,0.482352941176471
AIZR,67.51,1.72,-8.68,0.552941176470588,0.333333333333333,0.482352941176471
ALA,51.26,15.36,-2.16,0.203921568627451,0.247058823529412,0.796078431372549
ALML,337.49,11.79,-11.86,1,1,0.490196078431373
ALMR,313.28,19.99,10.89,1,1,0.490196078431373
ALNL,784.36,12.09,3.51,0.47843137254902,0.376470588235294,0.243137254901961
ALNR,786.6,12.15,-4.0,0.47843137254902,0.376470588235294,0.243137254901961
AQR,87.59,-3.56,-10.65,0.835294117647059,0.984313725490196,0.32156862745098
AS1,125.47,-9.54,1.86,0.196078431372549,0.63921568627451,0.2
AS10,656.89,-9.97,-1.18,0.282352941176471,1,0.262745098039216
AS11,721.64,-5.19,0.47,0.266666666666667,0.988235294117647,0.36078431372549
AS2,178.62,-14.41,2.54,0.282352941176471,1,0.262745098039216
AS3,241.85,-13.12,1.37,0.282352941176471,1,0.262745098039216
AS4,314.15,-15.93,0.51,0.282352941176471,1,0.262745098039216
AS5,373.84,-16.51,0.11,0.282352941176471,1,0.262745098039216
AS6,416.5,-13.72,0.36,0.282352941176471,1,0.262745098039216
AS7,480.05,-12.86,1.7,0.282352941176471,1,0.262745098039216
AS8,535.33,-13.19,-0.11,0.282352941176471,1,0.262745098039216
AS9,598.95,-11.42,-0.09,0.282352941176471,1,0.262745098039216
ASEL,61.3,5.43,8.57,0.231372549019608,0.323529411764706,0.582352941176471
ASER,60.94,5.42,-10.37,0.231372549019608,0.323529411764706,0.582352941176471
ASGL,59.98,8.66,7.01,0.486274509803922,0.980392156862745,0.494117647058824
ASGR,60.15,8.0,-8.22,0.486274509803922,0.980392156862745,0.494117647058824
ASHL,58.42,4.21,8.35,0.337254901960784,0.427450980392157,0.231372549019608
ASHR,57.83,3.81,-10.2,0.337254901960784,0.427450980392157,0.231372549019608
ASIL,63.34,10.14,5.8,0.27843137254902,0.505882352941176,0.215686274509804
ASIR,63.42,9.72,-7.16,0.27843137254902,0.505882352941176,0.215686274509804
ASJL,64.06,-0.02,5.64,0.282352941176471,0.364705882352941,0.294117647058824
ASJR,64.01,-1.08,-5.99,0.282352941176471,0.364705882352941,0.294117647058824
ASKL,54.73,12.0,4.44,0.262745098039216,0.380392156862745,0.23921568627451
ASKR,54.43,11.18,-6.32,0.262745098039216,0.380392156862745,0.23921568627451
AUAL,60.91,0.84,8.36,0.823529411764706,0.333333333333333,0.388235294117647
AUAR,60.76,0.22,-9.63,0.823529411764706,0.333333333333333,0.388235294117647
AVAL,50.2,6.7,8.41,0.568627450980392,0.580392156862745,0.972549019607843
AVAR,50.99,4.79,-9.13,0.568627450980392,0.580392156862745,0.972549019607843
AVBL,63.74,5.1,7.12,0,0,0
AVBR,62.69,4.83,-9.41,0,0,0
AVDL,65.34,5.35,9.11,0.964705882352941,0.988235294117647,0.392156862745098
AVDR,65.45,5.14,-10.59,0.964705882352941,0.988235294117647,0.392156862745098
AVEL,51.08,4.58,5.98,0.988235294117647,0.92156862745098,0.733333333333333
AVER,52.03,3.63,-6.09,0.988235294117647,0.92156862745098,0.733333333333333
AVFL,94.37,-7.8,3.49,0.215686274509804,0.274509803921569,0.337254901960784
AVFR,95.54,-8.59,0.49,0.215686274509804,0.274509803921569,0.337254901960784
AVG,121.12,-9.44,-1.76,0.549019607843137,0.952941176470588,0.8
AVHL,62.68,9.65,7.85,0.196078431372549,0.301960784313725,0.96078431372549
AVHR,62.82,8.96,-9.77,0.196078431372549,0.301960784313725,0.96078431372549
AVJL,65.08,7.13,8.47,0.705882352941177,0.376470588235294,0.729411764705882
AVJR,65.13,7.55,-9.59,0.705882352941177,0.376470588235294,0.729411764705882
AVKL,87.39,-5.94,3.82,0.172549019607843,0.258823529411765,0.96078431372549
AVKR,75.68,-5.64,-3.17,0.172549019607843,0.258823529411765,0.96078431372549
AVL,70.82,-4.87,0.37,0.894117647058824,0.72156862745098,0.984313725490196
